date;Year;Variable;Value;Population;Rate
2014-01-01;2014;Colonoscopies;3328;4749603;70.0690141891859
2014-02-01;2014;Colonoscopies;3647;4751617;76.752819092953
2014-03-01;2014;Colonoscopies;3580;4753319;75.3157951317806
2014-04-01;2014;Colonoscopies;3319;4755104;69.798683688096
2014-05-01;2014;Colonoscopies;3591;4756255;75.5005776603651
2014-06-01;2014;Colonoscopies;3098;4759379;65.0925257265707
2014-07-01;2014;Colonoscopies;3341;4725430;70.7025604019105
2014-08-01;2014;Colonoscopies;1840;4736177;38.849899401986
2014-09-01;2014;Colonoscopies;3179;4740922;67.0544674643455
2014-10-01;2014;Colonoscopies;4029;4742704;84.9515381942453
2014-11-01;2014;Colonoscopies;3428;4744669;72.2495078160352
2014-12-01;2014;Colonoscopies;2950;4723532;62.4532659035654
2015-01-01;2015;Colonoscopies;3426;4723026;72.5382413732213
2015-02-01;2015;Colonoscopies;3892;4725947;82.3538647386439
2015-03-01;2015;Colonoscopies;4200;4731212;88.772179306275
2015-04-01;2015;Colonoscopies;3825;4737329;80.7417006503032
2015-05-01;2015;Colonoscopies;3659;4742544;77.1526842977103
2015-06-01;2015;Colonoscopies;3612;4741416;76.1797741434205
2015-07-01;2015;Colonoscopies;3642;4717013;77.2098783700617
2015-08-01;2015;Colonoscopies;2137;4720916;45.2666389319361
2015-09-01;2015;Colonoscopies;3983;4727429;84.2529840215475
2015-10-01;2015;Colonoscopies;4624;4730502;97.7486110353616
2015-11-01;2015;Colonoscopies;4489;4713973;95.2275288806279
2015-12-01;2015;Colonoscopies;3536;4720228;74.9116356243809
2016-01-01;2016;Colonoscopies;3885;4725914;82.2063203012158
2016-02-01;2016;Colonoscopies;4784;4729496;101.152427235376
2016-03-01;2016;Colonoscopies;4366;4734779;92.2112732188767
2016-04-01;2016;Colonoscopies;4894;4738459;103.282522862391
2016-05-01;2016;Colonoscopies;4413;4745013;93.002906419856
2016-06-01;2016;Colonoscopies;3881;4716574;82.2843021226848
2016-07-01;2016;Colonoscopies;3670;4721493;77.7296503457699
2016-08-01;2016;Colonoscopies;2329;4728135;49.2583227847767
2016-09-01;2016;Colonoscopies;3952;4734042;83.4804591932222
2016-10-01;2016;Colonoscopies;3985;4741025;84.0535538201127
2016-11-01;2016;Colonoscopies;4482;4695973;95.4434789126769
2016-12-01;2016;Colonoscopies;3077;4736380;64.9652266076624
2017-01-01;2017;Colonoscopies;3928;4741816;82.8374614282798
2017-02-01;2017;Colonoscopies;4627;4747298;97.4659690628227
2017-03-01;2017;Colonoscopies;5348;4752338;112.534083223878
2017-04-01;2017;Colonoscopies;3649;4757463;76.7005439663955
2017-05-01;2017;Colonoscopies;4769;4763413;100.117289850786
2017-06-01;2017;Colonoscopies;4215;4748124;88.7719023344799
2017-07-01;2017;Colonoscopies;3684;4758642;77.4170446106263
2017-08-01;2017;Colonoscopies;2357;4773681;49.3748953899517
2017-09-01;2017;Colonoscopies;3743;4774121;78.4018670662097
2017-10-01;2017;Colonoscopies;4323;4790096;90.248713178191
