date;Year;Variable;Value;Population;Rate
2014-01-01;2014;Total;3129;4749603;65.8791903239071
2014-02-01;2014;Total;3248;4751617;68.3556776566798
2014-03-01;2014;Total;3288;4753319;69.1727191042722
2014-04-01;2014;Total;3016;4755104;63.4265833092189
2014-05-01;2014;Total;3350;4756255;70.4335659042671
2014-06-01;2014;Total;3171;4759379;66.6263392766157
2014-07-01;2014;Total;3782;4725430;80.0350444298191
2014-08-01;2014;Total;2220;4736177;46.8732481915266
2014-09-01;2014;Total;3063;4740922;64.607686015505
2014-10-01;2014;Total;3988;4742704;84.0870524494044
2014-11-01;2014;Total;3564;4744669;75.11588268855
2014-12-01;2014;Total;3089;4723532;65.395979110547
2015-01-01;2015;Total;3286;4723026;69.5740400328095
2015-02-01;2015;Total;3355;4725947;70.9910627436152
2015-03-01;2015;Total;3993;4731212;84.3969790404657
2015-04-01;2015;Total;3391;4737329;71.5804201059289
2015-05-01;2015;Total;3458;4742544;72.9144526650675
2015-06-01;2015;Total;3772;4741416;79.5542934853217
2015-07-01;2015;Total;3790;4717013;80.3474571725793
2015-08-01;2015;Total;2375;4720916;50.3080334409678
2015-09-01;2015;Total;3511;4727429;74.2686986943643
2015-10-01;2015;Total;3716;4730502;78.5540308407015
2015-11-01;2015;Total;3550;4713973;75.3080257354041
2015-12-01;2015;Total;3416;4720228;72.3693855466304
2016-01-01;2016;Total;3190;4725914;67.5001703374204
2016-02-01;2016;Total;3856;4729496;81.5308861663061
2016-03-01;2016;Total;3487;4734779;73.6465207774217
2016-04-01;2016;Total;3595;4738459;75.868547137371
2016-05-01;2016;Total;3891;4745013;82.0018828188669
2016-06-01;2016;Total;3680;4716574;78.0227342982428
2016-07-01;2016;Total;3442;4721493;72.9006693433624
2016-08-01;2016;Total;2798;4728135;59.1776673043388
2016-09-01;2016;Total;3579;4734042;75.6013571489226
2016-10-01;2016;Total;3699;4741025;78.0211030315174
2016-11-01;2016;Total;4005;4695973;85.285839590645
2016-12-01;2016;Total;3096;4736380;65.3663768532086
2017-01-01;2017;Total;3618;4741816;76.2998817330744
2017-02-01;2017;Total;3797;4747298;79.982339427607
2017-03-01;2017;Total;4116;4752338;86.6100012246604
2017-04-01;2017;Total;3038;4757463;63.8575644203644
2017-05-01;2017;Total;4136;4763413;86.8284988095721
2017-06-01;2017;Total;3923;4748124;82.6221050671802
2017-07-01;2017;Total;3431;4758642;72.1004017532733
2017-08-01;2017;Total;2698;4773681;56.5182298523927
2017-09-01;2017;Total;3258;4774121;68.2429289077508
2017-10-01;2017;Total;3759;4790096;78.4744188842979
2017-11-01;2017;Total;3781;4791041;78.9181307360968
2017-12-01;2017;Total;2697;4775443;56.4764357987311
2018-01-01;2018;Total;3633;4781835;75.975017958587
2018-02-01;2018;Total;3733;4789387;77.943168927464
2018-03-01;2018;Total;3656;4795563;76.2371383714488
2018-04-01;2018;Total;3383;4802811;70.4379164618387
2018-05-01;2018;Total;3849;4808243;80.0500307492779
2018-06-01;2018;Total;3635;4791739;75.8597244132036
2018-07-01;2018;Total;4012;4816811;83.2916217804685
2018-08-01;2018;Total;2630;4824730;54.510822367262
2018-09-01;2018;Total;3038;4833720;62.8501444022409
2018-10-01;2018;Total;3521;4840620;72.7386161276861
2018-11-01;2018;Total;3127;4852215;64.4447947999007
2018-12-01;2018;Total;3162;4833717;65.4154970181333
2019-01-01;2019;Total;3778;4846503;77.9531138224819
2019-02-01;2019;Total;3585;4854644;73.846815544044
2019-03-01;2019;Total;3863;4866790;79.374700778131
2019-04-01;2019;Total;3660;4875790;75.064758736533
2019-05-01;2019;Total;3889;4884676;79.6163348398133
